003,madol duuwa,martin wickramasinghe,800,samudhra,child,available,
004,anne of the greengables,lucy maud,1200,mdk,novel,unavailable,
005,baddegama,a.p. gunarathna,790,gunasena,child,unavailable,
006,anne of the greengables,lucy maud,1000,mdk,novel,unavailable,
007,anne of the greengables,lucy maud,1000,mdk,child,available,
008,yuganthaya,martin wickramasinghe,679,samudhra,novel,unavailable,
009,ape gama,martin wickramasinghe,1000,pb publishers,novel,available,
010,malagiya aththo,ediriweera sarathchandra,760,gunasena,love,unavailable,
006,anne of the greengables,lucy maud,1000,mdk,novel,available,
012,my dream,williom max,1200,pb publishers,fantacy,available,
015,anne of the greengables,lucy maud,1000,mdk,child,available,
024,madol duuwa,martin wickramasingha,1000,sarasavi,child,available,
